CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 199,1.0,2.0,500.0,1.0,H,H
Almacen 200,1.0,2.0,500.0,1.0,H,H
Almacen 201,1.0,2.0,500.0,1.0,H,H
Almacen 202,1.0,2.0,500.0,1.0,H,H
Almacen 203,143.0,158.0,500.0,13.0,H,H
Almacen 204,2.0,3.0,500.0,1.0,H,H
Almacen 205,9.0,10.0,500.0,4.0,H,H
Almacen 206,1.0,2.0,500.0,1.0,H,H
Almacen 207,1.0,2.0,500.0,1.0,H,H
Almacen 208,1.0,2.0,500.0,1.0,H,H
Almacen 209,8.0,9.0,500.0,2.0,H,H
Almacen 210,0.0,0.0,500.0,500.0,M,M
Almacen 211,1.0,0.0,500.0,500.0,M,V
Almacen 212,1.0,0.0,500.0,500.0,M,V
Almacen 213,1.0,2.0,500.0,1.0,H,H
Almacen 214,0.0,0.0,500.0,500.0,M,M
Almacen 215,473.0,388.0,500.0,21.0,H,V
Almacen 216,516.0,559.0,500.0,26.0,H,V
Almacen 217,330.0,364.0,500.0,16.0,H,H
Almacen 218,16.0,0.0,500.0,500.0,M,V
Almacen 219,0.0,0.0,500.0,500.0,M,M
Almacen 220,0.0,0.0,500.0,500.0,M,M
Almacen 221,2931.0,3225.0,500.0,682.0,H,H
Almacen 222,12.0,14.0,500.0,2.0,H,H
Almacen 223,1.0,2.0,500.0,1.0,H,H
Almacen 224,4350.0,4785.0,500.0,628.0,H,H
Almacen 225,688.0,0.0,500.0,500.0,M,V
Almacen 226,1914.0,0.0,500.0,500.0,M,V
Almacen 227,1.0,0.0,500.0,500.0,M,V
Almacen 228,821.0,0.0,500.0,500.0,M,V
Almacen 229,7379.0,0.0,500.0,500.0,M,V
Almacen 230,1.0,0.0,500.0,500.0,M,V
Almacen 231,28.0,31.0,500.0,17.0,H,H
Almacen 232,1319.0,614.0,500.0,144.0,H,V
Almacen 233,0.0,0.0,500.0,500.0,M,M
Almacen 234,280.0,309.0,500.0,30.0,H,H
Almacen 235,308.0,339.0,500.0,240.0,H,H
Almacen 236,1980.0,3043.0,500.0,416.0,H,H
Almacen 237,5389.0,8125.0,500.0,1062.0,H,H
Almacen 238,11578.0,15875.0,500.0,1015.0,H,H
Almacen 239,10519.0,15940.0,500.0,1240.0,H,H
Almacen 240,1.0,0.0,500.0,500.0,M,V
Almacen 241,0.0,0.0,500.0,500.0,M,M
Almacen 242,144.0,159.0,500.0,54.0,H,H
Almacen 243,203.0,2222.0,500.0,162.0,V,V
Almacen 244,55.0,61.0,500.0,13.0,H,H
Almacen 245,3.0,18.0,500.0,2.0,H,V
Almacen 246,2682.0,2222.0,500.0,486.0,V,V
Almacen 247,2420.0,2222.0,500.0,508.0,V,V
Almacen 248,1256.0,2222.0,500.0,428.0,V,V
Almacen 249,33.0,37.0,500.0,6.0,H,H
Almacen 250,168.0,210.0,500.0,22.0,H,V
Almacen 251,24.0,0.0,500.0,500.0,M,V
Almacen 252,3.0,2222.0,55.0,111.0,V,V
Almacen 253,25.0,28.0,500.0,5.0,H,H
Almacen 254,10.0,11.0,500.0,5.0,H,H
Almacen 255,23.0,26.0,500.0,19.0,H,H
Almacen 256,2189.0,3970.0,79.0,443.0,H,H
Almacen 257,1124.0,2519.0,500.0,252.0,H,H
Almacen 258,2278.0,2222.0,500.0,308.0,V,V
Almacen 259,51.0,57.0,500.0,30.0,H,H
Almacen 260,286.0,1254.0,768.0,32.0,V,V
Almacen 261,16.0,18.0,500.0,7.0,H,H
Almacen 262,8086.0,2222.0,500.0,1130.0,V,V
Almacen 263,195.0,215.0,500.0,24.0,H,H
Almacen 264,164.0,2222.0,462.0,433.0,V,V
Almacen 265,115.0,138.0,10.0,70.0,H,H
Almacen 266,12.0,14.0,500.0,6.0,H,H
Almacen 267,475.0,2222.0,393.0,92.0,V,V
Almacen 268,214.0,2222.0,107.0,500.0,V,V
Almacen 269,227.0,250.0,500.0,30.0,H,H
Almacen 270,64.0,71.0,500.0,10.0,H,H
Almacen 271,1.0,2.0,500.0,1.0,H,H
Almacen 272,117.0,129.0,500.0,6.0,H,H
Almacen 273,7154.0,7870.0,500.0,161.0,H,H
Almacen 274,0.0,0.0,500.0,500.0,M,M
Almacen 275,503.0,554.0,500.0,58.0,H,H
Almacen 276,2501.0,6492.0,500.0,98.0,H,V
Almacen 277,0.0,0.0,500.0,500.0,M,M
Almacen 278,17.0,92.0,500.0,9.0,H,V
Almacen 279,572.0,630.0,500.0,44.0,H,H
Almacen 280,23.0,2.0,500.0,1.0,H,V
Almacen 281,10332.0,0.0,500.0,500.0,M,V
Almacen 282,1294.0,0.0,500.0,500.0,M,V
Almacen 283,14146.0,0.0,500.0,500.0,M,V
Almacen 284,24.0,0.0,500.0,500.0,M,V
Almacen 285,0.0,0.0,500.0,500.0,M,M
Almacen 286,13125.0,0.0,500.0,500.0,M,V
Almacen 287,0.0,0.0,500.0,500.0,M,M
Almacen 288,5665.0,3769.0,500.0,238.0,H,V
Almacen 289,1.0,0.0,500.0,500.0,M,V
Almacen 290,378.0,154.0,500.0,77.0,H,V
Almacen 291,555.0,611.0,500.0,24.0,H,H
Almacen 292,583.0,642.0,500.0,86.0,H,H
Almacen 293,0.0,0.0,500.0,500.0,M,M
